global_accuracy	0.3017531556802244 ± 0.11365049368888876
global_adjacent_accuracy	0.9176484338475923 ± 0.037780735860064175
global_macro_f1	0.2701272257733739 ± 0.06039244785281247
difficulty_0_accuracy	0.15789473684210525
difficulty_0_adjacent_accuracy	0.631578947368421
difficulty_0_f1	0.2608695652173913
difficulty_1_accuracy	0.1792452830188679
difficulty_1_adjacent_accuracy	0.8537735849056604
difficulty_1_f1	0.2878787878787879
difficulty_2_accuracy	0.3333333333333333
difficulty_2_adjacent_accuracy	1.0
difficulty_2_f1	0.3196125907990315
difficulty_3_accuracy	1.0
difficulty_3_adjacent_accuracy	1.0
difficulty_3_f1	0.2882882882882883
