global_accuracy	0.3014960261804581 ± 0.06979063380697613
global_adjacent_accuracy	0.8460495558672276 ± 0.04002689180515651
global_macro_f1	0.3555287558337435 ± 0.09336385938702399
difficulty_0_accuracy	0.3684210526315789
difficulty_0_adjacent_accuracy	0.7368421052631579
difficulty_0_f1	0.45161290322580644
difficulty_1_accuracy	0.3160377358490566
difficulty_1_adjacent_accuracy	0.6933962264150944
difficulty_1_f1	0.45733788395904434
difficulty_2_accuracy	0.16666666666666666
difficulty_2_adjacent_accuracy	0.9949494949494949
difficulty_2_f1	0.21153846153846154
difficulty_3_accuracy	1.0
difficulty_3_adjacent_accuracy	1.0
difficulty_3_f1	0.22377622377622378
