global_accuracy	0.5813230481533427 ± 0.03361627647874572
global_adjacent_accuracy	0.9848293595137914 ± 0.011057680372105015
global_macro_f1	0.4859923289594456 ± 0.040770502412921183
difficulty_0_accuracy	0.21052631578947367
difficulty_0_adjacent_accuracy	0.9473684210526315
difficulty_0_f1	0.3333333333333333
difficulty_1_accuracy	0.6179245283018868
difficulty_1_adjacent_accuracy	0.9716981132075472
difficulty_1_f1	0.6735218508997429
difficulty_2_accuracy	0.5404040404040404
difficulty_2_adjacent_accuracy	1.0
difficulty_2_f1	0.5544041450777202
difficulty_3_accuracy	0.8125
difficulty_3_adjacent_accuracy	1.0
difficulty_3_f1	0.42276422764227645
